id,name,type,is_deceased,date_of_birth,date_of_death
m.01t9khv,Udi Yorgo Bacanos,people.person,true,1900-09-21,1977-02-24
m.03y6xr3,Maria Reining,people.deceased_person,true,1903-08-07,1991-03-11
m.05zn4k7,Vlademir Jeronimo Barreto,people.person,false,1979-10-01,null
m.065zh0w,Emmanuel Constant,people.deceased_person,true,1928-01-05,2009-06-16
m.012vp2ly,Eduard Basurin,people.person,false,1966-06-27,null
m.02rvkq7,Karl von Westphalen,people.person,true,1898-08-12,1975-10-18
m.012845wg,Andrey Pedan,people.person,false,1993-07-03,null
m.02pbc53,Nick James,people.person,false,1986-09-17,null
m.011x6b_y,Georgy Egorov,people.person,false,1994-04-20,null
m.03mgwsw,Emil Nanu,people.person,false,1981-10-17,null
m.03qjkjh,Dan Goldman,people.person,false,1974-05-11,null
m.03h3_mt,Janet Gaymer,people.person,false,1947-07-11,null
m.03qhtpl,Josephine Touray,people.person,false,1979-10-06,null
m.07ftds,Neck Face,people.person,false,1984-01-01,null
m.05b2lyv,Achim Hill,people.person,false,1935-04-01,null
m.0831yf,Andrei Cherkasov,people.person,false,1970-07-04,null
m.010r24yt,Green Harawa,people.person,false,1989-01-21,null
m.083xff,Geert De Vlieger,people.person,false,1971-10-16,null
m.027331g,Brian Hansen,people.person,false,1960-10-20,null
m.02rkb3s,James Hugh Ward,people.person,true,1853-11-30,1916-08-15
m.02rn8m4,Irving Calkins,people.person,true,1875-10-31,1958-08-26
m.027qd3c,Joyce Chen,people.person,true,1917-09-14,1994-08-23
m.02pv_13,Roberto Carifi,people.person,false,1948-01-01,null
m.04y8qrg,Warrington Phillip,people.person,false,1968-07-23,null
m.027vy2v,Joseph Papin,people.person,true,1825-12-14,1862-02-23
m.06w73mr,Rafael Harutyunyan,people.person,false,1992-06-08,null
m.053njt6,Douglas Stewart,people.deceased_person,true,1913-06-24,1991-01-01
m.06_xj5n,Dmitri Olegovich Sokolov,people.person,false,1988-03-01,null
m.03f2r3t,Jaakko Kuusisto,people.person,false,1974-01-17,null
m.064l6hd,Derek Farr,people.person,true,1912-02-07,1986-03-22
m.02vwyxc,Willie Hunter,people.person,false,1940-02-14,null
m.04ygcvl,Walter Zagurski,people.person,true,1911-01-12,1959-02-01
m.05f363m,Gianfranco Zigoni,people.person,false,1944-11-25,null
m.02x522,Zuicho Tachibana,people.person,true,1890-01-07,1968-11-04
m.043nwxl,George Lois,people.person,false,1931-06-26,null
m.012fs4,Yves Saint Laurent,people.deceased_person,true,1936-08-01,2008-06-01
m.010xdnwq,Muhammad Yassien Najjar,people.person,false,1967-10-04,null
m.05f759k,Jeff Knuth,people.person,false,1962-03-09,null
m.03c4dbb,Bobby Peters,people.person,false,1947-07-04,null
m.02z0skp,Renat Yanbayev,people.person,false,1984-04-07,null
m.06crd1,Inger Nilsson,people.person,false,1959-05-04,null
m.03dsdc,Benjamin Franklin White,people.person,true,1800-09-20,1879-12-05
m.064q9ph,Lars Thunell,people.person,false,1948-01-01,null
m.026t52d,Wanda Panfil,people.person,false,1959-01-26,null
m.01r6mt,John Gould Fletcher,people.person,true,1886-01-03,1950-05-10
m.05z_pkn,John Clarke,people.person,false,1952-01-01,null
m.04gj9tq,Percy Evans,people.person,true,1894-07-20,1959-01-17
m.07s7stj,Yevgeni Belashov,people.person,false,1980-01-28,null
m.05f9q_k,David Bachrach,people.deceased_person,true,1845-01-01,1921-01-01
m.05s_ttn,Damu The Fudgemunk,people.person,false,1984-06-08,null
m.011cm_db,Yuya Ogawa,people.person,false,1977-01-01,null
m.05wbywt,Patricia Ann Potter,people.person,false,1940-01-01,null
m.03cx3m4,Edmond Bruce,people.deceased_person,true,1899-09-28,1973-11-28
m.06ztcvx,Carole Satyamurti,people.person,false,1939-01-01,null
m.03c_zn2,Jacek Gollob,people.person,false,1969-10-27,null
m.06w9_fg,David Kappos,people.person,false,1961-03-03,null
m.0130rj8r,Daniel Babut,people.person,false,1929-01-01,null
m.011ng_9d,Dic van Duin,people.person,false,1954-06-19,null
m.04h2pj,Raymond Roussel,people.deceased_person,true,1877-01-20,1933-07-14
m.03ycbc6,Dani Moreno,people.person,false,1981-09-05,null
m.01vwdh7,Dennis Poschwatta,people.person,false,1974-01-01,null
m.01r6f1,Elbert Dubenion,people.person,false,1933-02-16,null
m.05y0302,Lloyd Peters,people.person,false,1902-01-01,null
m.02rlf0_,Tranquilino Luna,people.deceased_person,true,1849-02-25,1892-11-20
m.01r2v0j,Clif Magness,people.person,false,1957-04-24,null
m.05vy712,Carol Pearson,people.person,false,1944-01-01,null
m.02rz75s,John Fletcher Darby,people.person,true,1803-12-10,1882-05-11
m.0277wjt,Joel West,people.person,false,1975-04-06,null
m.026rs6z,Baymirza Hayit,people.deceased_person,true,1917-12-17,2006-10-31
m.07kh800,Joe Kort,people.person,false,1963-01-01,null
m.0292qs,Ed Schrock,people.person,false,1941-04-06,null
m.0127y6wn,Stefan Popov,people.person,false,1993-11-26,null
m.05p3zr1,Fred Sigmont,people.deceased_person,true,1873-05-14,1950-07-30
m.04mxk3n,Josh Keyes,people.person,false,1969-08-17,null
m.0266lhb,Shi Jingtang,people.person,true,0892-03-30,0942-07-28
m.05zsn7x,Richard Santiago,people.person,false,1970-09-28,null
m.02vmryf,Brian Godding,people.person,false,1945-08-19,null
m.05szkfm,Burdette Haldorson,people.person,false,1934-01-24,null
m.05xhg0v,George P Moschis,people.person,false,1944-01-01,null
m.02pstb0,Vivian Della Chiesa,people.person,true,1915-10-09,2009-01-06
m.02l74j,David Cay Johnston,people.person,false,1948-12-24,null
m.0408vn0,Charles Kaisin,people.person,false,1972-12-05,null
m.01v4cz9,Ral Donner,people.deceased_person,true,1943-02-10,1984-04-06
